ID,Name,Age,Nationality,Overall,Club,Value,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Position
189513,Parejo,33,Spain,86,Villarreal CF,42M,Right,2,4,3,Medium/ Medium,LCM
226226,G. Lo Celso,26,Argentina,81,Tottenham Hotspur,31.5M,Left,1,3,4,High/ Medium,RES
201942,Roberto Firmino,30,Brazil,83,Liverpool,35.5M,Right,3,4,5,High/ High,SUB
201389,C. Biraghi,29,Italy,80,Fiorentina,18.5M,Left,2,3,3,Medium/ Medium,LB
20801,Cristiano Ronaldo,37,Portugal,90,Manchester United,41M,Right,5,4,5,High/ Low,ST
228618,F. Mendy,27,France,83,Real Madrid CF,38M,Left,1,5,4,High/ High,LB
190871,Neymar Jr,30,Brazil,89,Paris Saint-Germain,99.5M,Right,5,5,5,High/ Medium,LW
173731,G. Bale,32,Wales,81,Los Angeles FC,20.5M,Left,4,3,4,Medium/ Medium,RS
212242,R. Andrich,27,Germany,81,Bayer 04 Leverkusen,26.5M,Right,2,4,3,High/ High,RDM
225375,K. Laimer,25,Austria,83,RB Leipzig,38.5M,Right,2,3,3,Medium/ High,LDM
188350,M. Reus,33,Germany,85,Borussia Dortmund,33.5M,Right,4,4,4,High/ Medium,CAM
206511,M. Arnold,28,Germany,80,VfL Wolfsburg,20.5M,Left,2,2,3,High/ Medium,RDM
215914,N. Kanté,31,France,89,Chelsea,72M,Right,4,3,2,Medium/ High,RCM
216267,A. Robertson,28,Scotland,87,Liverpool,72M,Left,3,2,3,High/ High,LB
203551,A. Florenzi,31,Italy,79,AC Milan,12.5M,Right,3,4,3,High/ Medium,SUB
13743,17 S. Gerrard,36,England,81,LA Galaxy,1.4M,Right,3,3,3,Medium/ Medium,RES
208418,Y. Carrasco,28,Belgium,85,Atlético de Madrid,54.5M,Right,3,4,4,High/ High,LM
212523,Anderson Talisca,28,Brazil,82,Al Nassr,31M,Left,2,4,4,High/ Low,CF
208618,"Lucas Vázquez",31,Spain,81,Real Madrid CF,18.5M,Right,2,4,4,High/ Medium,SUB
188152,Oscar,30,Brazil,81,Shanghai Port FC,25M,Right,3,3,4,High/ Medium,SUB
251573,Renan Lodi,24,Brazil,80,Atlético de Madrid,29.5M,Left,1,3,4,High/ Medium,SUB
195272,M. Faraoni,30,Italy,78,Hellas Verona,12M,Right,1,4,3,High/ High,RM
205686,T. Savanier,30,France,81,Montpellier Hérault SC,25M,Right,2,5,4,High/ Medium,CAM
212207,N. Stanciu,29,Romania,79,Wuhan Three Towns,17M,Right,2,4,4,Medium/ Medium,LCM
207439,L. Paredes,28,Argentina,80,Paris Saint-Germain,18.5M,Right,2,4,4,Medium/ Medium,RES
205569,J. Ward-Prowse,27,England,81,Southampton,29.5M,Right,2,3,3,High/ High,RCM
215071,M. Casco,34,Argentina,77,River Plate,3.9M,Right,1,5,3,High/ Low,RB
178518,R. Nainggolan,34,Belgium,76,Royal Antwerp FC,3.5M,Right,3,3,3,Medium/ Low,RCM
165153,K. Benzema,34,France,91,Real Madrid CF,64M,Right,4,4,4,Medium/ Medium,CF
182521,T. Kroos,32,Germany,88,Real Madrid CF,72M,Right,4,5,3,Medium/ Medium,LCM
121939,17 P. Lahm,32,Germany,88,FC Bayern München,29.5M,Right,4,3,3,Medium/ High,RB
178562,É. Banega,34,Argentina,81,Al Shabab,12M,Right,3,4,4,Medium/ Medium,RCM
243576,Pedro Porro,22,Spain,81,Sporting CP,38.5M,Right,1,3,3,High/ Medium,RWB
236791,"A. Barák",27,Czech Republic,81,Hellas Verona,30M,Left,1,3,4,High/ Medium,RF
209989,T. Partey,29,Ghana,84,Arsenal,36M,Right,2,3,3,Medium/ High,RCM
241637,A. Tchouaméni,22,France,82,Real Madrid CF,61.5M,Right,2,3,3,Medium/ High,SUB
183898,Á. Di María,34,Argentina,84,Juventus,20M,Left,4,2,5,High/ Medium,RW
164169,19 Filipe Luís,32,Brazil,85,Atlético de Madrid,21.5M,Left,3,3,3,High/ Medium,LB
207410,M. Kovačić,28,Croatia,84,Chelsea,42M,Right,3,4,4,High/ High,SUB
200104,H. Son,29,Korea Republic,89,Tottenham Hotspur,101M,Right,4,5,4,High/ Medium,LW
189596,T. Müller,32,Germany,87,FC Bayern München,63M,Right,4,4,3,High/ High,CAM
214997,Á. Correa,27,Argentina,83,Atlético de Madrid,42.5M,Right,2,4,4,High/ Medium,SUB
192638,Marcos Alonso,31,Spain,79,Chelsea,12.5M,Left,2,3,3,High/ Low,SUB
155862,Sergio Ramos,36,Spain,84,Paris Saint-Germain,7.5M,Right,4,3,3,High/ Medium,RCB
180206,M. Pjanić,32,Bosnia and Herzegovina,81,FC Barcelona,20M,Right,3,4,3,Medium/ Medium,SUB
226162,E. Buendía,25,Argentina,80,Aston Villa,26.5M,Right,3,4,4,High/ High,SUB
189125,G. Bonaventura,32,Italy,78,Fiorentina,11M,Right,2,3,4,High/ Medium,RCM
135455,16 Maicon,33,Brazil,77,Roma,2.9M,Right,3,3,2,High/ Medium,SUB
217870,G. Di Lorenzo,28,Italy,82,Napoli,27.5M,Right,2,3,3,Medium/ Medium,RB
236480,Y. Bissouma,25,Mali,81,Tottenham Hotspur,34.5M,Right,1,3,4,High/ Medium,SUB
171877,"M. Hamšík",34,Slovakia,80,Trabzonspor,9.5M,Right,3,5,4,High/ Medium,LCM
176676,22 Marcelo,33,Brazil,79,Real Madrid CF,9M,Left,4,4,5,High/ Low,SUB
189362,21 Hulk,33,Brazil,80,Shanghai Port FC,13M,Left,4,3,4,High/ Low,LW
171579,Raúl García,35,Spain,80,Athletic Club de Bilbao,9M,Right,2,3,3,Medium/ Medium,SUB
231866,Rodri,26,Spain,87,Manchester City,88.5M,Right,3,4,3,Medium/ High,CDM
252060,T. Pobega,22,Italy,76,AC Milan,17M,Left,1,4,3,High/ Medium,SUB
227813,O. Zinchenko,25,Ukraine,79,Arsenal,21.5M,Left,2,3,3,High/ Medium,LB
247090,"E. Fernández",21,Argentina,78,SL Benfica,31.5M,Right,1,4,3,High/ High,LCM
230256,Adryan Zonta,30,Brazil,81,RB Bragantino,22M,Left,1,4,2,Medium/ Medium,LB
239231,Cucurella,23,Spain,81,Chelsea,34.5M,Left,1,3,3,High/ High,SUB
198164,Jonathan Viera,32,Spain,80,Unión Deportiva Las Palmas,16.5M,Right,2,4,4,High/ Medium,CAM
168651,I. Rakitić,34,Croatia,82,Sevilla FC,14M,Right,3,4,3,Medium/ Medium,SUB
203535,T. Vilhena,27,Netherlands,76,RCD Espanyol de Barcelona,8M,Left,2,4,3,High/ High,SUB
215798,M. Cornet,25,Côte d'Ivoire,78,West Ham United,18.5M,Left,2,4,3,High/ Medium,SUB
233419,Raphinha,25,Brazil,83,FC Barcelona,48M,Left,2,4,4,High/ High,SUB
230658,Arthur,25,Brazil,80,Juventus,26.5M,Right,2,3,4,Medium/ Medium,SUB
146562,21 Santi Cazorla,35,Spain,82,,0,Right,3,5,4,High/ Medium,SUB
205498,Jorginho,30,Italy,85,Chelsea,51.5M,Right,2,3,3,Medium/ Medium,LCM
210881,J. McGinn,27,Scotland,79,Aston Villa,20M,Left,2,2,3,High/ High,RCM
236496,M. Guendouzi,23,France,80,Olympique de Marseille,33M,Right,1,3,4,Medium/ High,LCM
198031,Sérgio Oliveira,30,Portugal,79,Galatasaray SK,17M,Right,1,4,3,Medium/ Medium,RCM
210008,A. Rabiot,27,France,80,Juventus,24M,Left,2,3,3,Medium/ Medium,SUB
203483,D. Klaassen,29,Netherlands,79,Ajax,17M,Right,2,3,3,High/ High,SUB
216594,N. Fekir,28,France,85,Real Betis Balompié,54.5M,Left,3,4,4,High/ Medium,CAM
210406,P. Zieliński,28,Poland,83,Napoli,36.5M,Right,3,5,4,Medium/ Medium,LCM
192883,H. Mkhitaryan,33,Armenia,81,Inter,16M,Right,3,5,4,High/ Low,SUB
248243,E. Camavinga,19,France,79,Real Madrid CF,38M,Left,3,3,4,High/ High,SUB
226271,"Fabián",26,Spain,83,Napoli,44.5M,Left,2,3,4,Medium/ Medium,RCM
138412,J. Milner,36,England,78,Liverpool,4.4M,Right,2,4,3,Medium/ High,SUB
191740,Ander Herrera,32,Spain,79,Paris Saint-Germain,14M,Right,3,4,3,High/ High,SUB
156519,H. Herrera,32,Mexico,80,Houston Dynamo,16.5M,Right,3,4,3,Medium/ Medium,LCM
246191,J. Álvarez,22,Argentina,78,Manchester City,32M,Right,1,4,4,High/ High,SUB
240709,R. Baku,24,Germany,80,VfL Wolfsburg,30M,Right,2,4,3,High/ Medium,RB
223874,V. Rongier,27,France,78,Olympique de Marseille,16M,Right,2,4,3,Medium/ Medium,RCM
239085,E. Haaland,21,Norway,88,Manchester City,148M,Left,4,3,3,High/ Medium,ST
222077,M. Locatelli,24,Italy,82,Juventus,40M,Right,2,4,3,Medium/ High,CDM
239301,L. Martínez,24,Argentina,81,Manchester United,35M,Left,2,3,3,Medium/ High,SUB
229752,D. Sow,25,Switzerland,80,Eintracht Frankfurt,26.5M,Right,2,4,3,Medium/ High,RCM
184943,19 Ramires,31,Brazil,80,Jiangsu FC,10M,Right,3,3,4,High/ High,SUB
233064,M. Mount,23,England,84,Chelsea,57.5M,Right,3,4,3,High/ High,RW
189271,F. Coquelin,31,France,80,Villarreal CF,17.5M,Right,2,4,3,Medium/ High,SUB
199304,Danilo,30,Brazil,80,Juventus,18M,Right,2,4,3,Medium/ High,SUB
221363,D. van de Beek,25,Netherlands,79,Manchester United,25.5M,Right,3,3,3,High/ Medium,SUB
208830,J. Vardy,35,England,85,Leicester City,23M,Right,3,4,3,High/ Medium,ST
216320,S. Fofana,27,Côte d'Ivoire,81,Racing Club de Lens,27.5M,Right,2,4,4,High/ High,LCM
253727,L. Provod,25,Czech Republic,75,SK Slavia Praha,8M,Left,1,4,3,High/ High,SUB
203376,V. van Dijk,30,Netherlands,90,Liverpool,98M,Right,4,3,2,Medium/ High,LCB
229927,Gerson,25,Brazil,78,Olympique de Marseille,19.5M,Left,2,3,3,Medium/ Medium,RF
233029,R. Aliendro,31,Argentina,76,River Plate,6M,Right,1,3,4,High/ High,RCM
146954,18 Gabi,33,Spain,81,Atlético de Madrid,10.5M,Right,3,3,2,Medium/ High,RCM
210411,"Otávio",27,Portugal,82,FC Porto,32.5M,Right,1,3,4,High/ High,RM
200610,K. Volland,29,Germany,82,AS Monaco,30.5M,Left,2,4,3,High/ High,SUB
223273,"M. Pašalić",27,Croatia,81,Atalanta,27.5M,Right,2,4,4,Medium/ Medium,RF
269760,R. Kent,40,England,83,AFC Richmond,0,Left,1,3,3,High/ High,LCM
225201,Álex Berenguer,26,Spain,80,Athletic Club de Bilbao,23M,Right,1,4,3,High/ Medium,SUB
234568,Gedson Fernandes,23,Portugal,77,Beşiktaş JK,15M,Right,1,3,3,High/ High,LDM
223959,L. Torreira,26,Uruguay,81,Galatasaray SK,28.5M,Right,2,3,3,Medium/ High,LCM
227236,A. Zambo Anguissa,26,Cameroon,81,Napoli,28.5M,Right,1,3,3,Medium/ Low,CDM
222558,R. Karsdorp,27,Netherlands,80,Roma,22M,Right,2,3,3,High/ Medium,RM
208461,M. de Roon,31,Netherlands,80,Atalanta,15M,Right,3,3,3,Medium/ High,RCM
211093,C. McGregor,29,Scotland,77,Celtic,9M,Left,1,4,4,High/ High,CDM
162347,João Moutinho,35,Portugal,81,Wolverhampton Wanderers,10.5M,Right,3,4,3,Medium/ Medium,LCM
162240,22 M. Dembélé,33,Belgium,79,Guangzhou City,11M,Left,3,2,4,High/ High,LCM
247851,Bruno Guimarães,24,Brazil,81,Newcastle United,38.5M,Right,2,2,3,High/ High,CDM
242444,João Félix,22,Portugal,84,Atlético de Madrid,68.5M,Right,2,4,5,Medium/ Medium,LS
184200,M. Arnautović,33,Austria,82,Bologna,19.5M,Right,3,4,4,Medium/ Low,ST
231943,Richarlison,25,Brazil,81,Tottenham Hotspur,34.5M,Right,3,5,4,High/ Medium,SUB
222665,M. Ødegaard,23,Norway,84,Arsenal,63.5M,Left,3,2,5,High/ Medium,CAM
251854,Pedri,19,Spain,85,FC Barcelona,116M,Right,2,4,4,High/ High,LCM
208135,A. Doucouré,29,Mali,79,Everton,17M,Right,2,3,3,High/ High,RCM
208093,Gerard Moreno,30,Spain,85,Villarreal CF,53M,Left,2,4,3,High/ Medium,RS
213648,P. Højbjerg,26,Denmark,83,Tottenham Hotspur,40.5M,Right,2,4,3,High/ High,LCM
216189,Capa,30,Spain,77,Athletic Club de Bilbao,9M,Right,2,3,3,High/ High,SUB
135507,22 Fernandinho,36,Brazil,81,Manchester City,5M,Right,3,4,3,Medium/ High,SUB
204539,L. Advíncula,32,Peru,76,Boca Juniors,5M,Right,1,3,3,High/ Medium,RB
211110,P. Dybala,28,Argentina,86,Roma,69.5M,Left,3,3,4,High/ Low,LF
227535,R. Bentancur,25,Uruguay,79,Tottenham Hotspur,24.5M,Right,2,4,4,Medium/ Medium,RCM
199434,D. Tadić,33,Serbia,84,Ajax,26.5M,Left,3,3,4,Medium/ Medium,ST
251116,"T. Holeš",29,Czech Republic,78,SK Slavia Praha,12M,Right,1,4,2,High/ High,RDM
229984,B. Chilwell,25,England,82,Chelsea,37M,Left,2,3,3,High/ Medium,LWB
169051,19 F. Guarín,32,Colombia,74,Shanghai Shenhua FC,3.2M,Right,3,4,3,High/ Medium,LDM
202884,L. Spinazzola,29,Italy,82,Roma,27M,Right,3,4,4,High/ Medium,LM
216036,R. Delgado,32,Argentina,73,Club Atlético Colón,2M,Left,1,3,3,High/ Medium,SUB
204963,Carvajal,30,Spain,84,Real Madrid CF,36.5M,Right,3,3,3,High/ Medium,RB
236401,N. Mazraoui,24,Morocco,82,FC Bayern München,40.5M,Right,2,3,3,High/ Low,RB
197965,22 Pizzi,31,Portugal,79,İstanbul Başakşehir FK,14.5M,Right,3,4,3,High/ Medium,SUB
198784,A. Oxlade-Chamberlain,28,England,77,Liverpool,10.5M,Right,2,4,4,High/ High,SUB
208141,Gabriel,28,Brazil,75,SL Benfica,5.5M,Left,1,5,3,Medium/ High,RES
10535,15 Xavi,34,Spain,86,FC Barcelona,15.5M,Right,4,3,3,Medium/ Medium,SUB
205070,Portu,30,Spain,78,Getafe CF,13.5M,Right,1,4,3,High/ Medium,RM
247030,P. Ševčík,28,Czech Republic,75,SK Slavia Praha,5.5M,Right,1,4,3,High/ High,SUB
253124,Matheus Nunes,23,Portugal,79,Sporting CP,35M,Right,1,3,3,High/ Medium,LCM
193061,R. Pereyra,31,Argentina,78,Udinese Calcio,11.5M,Right,2,4,4,High/ High,CM
226807,C. Roldan,27,United States,75,Seattle Sounders FC,6M,Right,1,4,3,High/ High,SUB
190717,M. Antonio,32,Jamaica,79,West Ham United,14M,Right,2,3,4,High/ Medium,ST
199451,W. Ben Yedder,31,France,84,AS Monaco,35.5M,Right,2,5,4,High/ Low,ST
202652,R. Sterling,27,England,86,Chelsea,72.5M,Right,4,3,4,High/ Medium,ST
210315,"De Tomás",27,Spain,83,RCD Espanyol de Barcelona,42.5M,Right,1,4,4,High/ High,ST
269770,R. Montlaur,27,France,77,AFC Richmond,10M,Left,1,4,4,Medium/ High,SUB
246104,R. Gravenberch,20,Netherlands,79,FC Bayern München,38.5M,Right,1,4,4,Medium/ Medium,SUB
197083,D. Caligiuri,34,Italy,75,FC Augsburg,2.6M,Right,2,4,3,Medium/ High,RM
246669,B. Saka,20,England,82,Arsenal,60.5M,Left,2,3,3,High/ Medium,RM
230183,Gerson Armão,22,Brazil,78,Internacional,15M,Left,1,5,3,High/ High,LB
191043,Alex Sandro,31,Brazil,80,Juventus,15.5M,Left,3,3,3,High/ Medium,LB
187072,L. Stindl,33,Germany,79,Borussia Mönchengladbach,11M,Right,3,4,4,Medium/ Medium,CAM
224081,K. Phillips,26,England,81,Manchester City,32M,Right,2,3,3,Medium/ High,SUB
239732,S. Żurkowski,24,Poland,76,Fiorentina,12M,Right,1,3,3,High/ High,SUB
199042,"C. Aránguiz",33,Chile,80,Bayer 04 Leverkusen,10.5M,Right,3,4,3,Medium/ High,SUB
230251,Melvin Parrela,22,Brazil,79,RB Bragantino,18.5M,Right,1,3,2,Medium/ Medium,SUB
243231,E. Mwepu,24,Zambia,76,Brighton & Hove Albion,12M,Right,1,3,3,High/ High,LDM
230481,Ronaldo Cabrais,30,Brazil,83,Palmeiras,35M,Right,1,4,4,Medium/ Low,RM
208450,Andreas Pereira,26,Brazil,76,Fulham,10M,Right,1,4,4,Medium/ Medium,CAM
226491,K. Tierney,25,Scotland,81,Arsenal,33M,Left,2,3,3,High/ High,SUB
202371,T. Meunier,30,Belgium,78,Borussia Dortmund,12M,Right,2,4,3,High/ Medium,RB
193352,R. Rodríguez,29,Switzerland,74,Torino F.C.,3.5M,Left,2,3,3,Medium/ Medium,LCB
217036,Álex Moreno,29,Spain,80,Real Betis Balompié,18.5M,Left,1,3,3,High/ Medium,LB
237520,22 M. Camara,24,Guinea,75,Olympiacos CFP,8.5M,Right,1,3,4,Medium/ Medium,SUB
240471,"22 F. Gorriarán",26,Uruguay,77,Santos Laguna,12.5M,Right,1,4,3,High/ High,RCM
239093,J. Clauss,29,France,80,Olympique de Marseille,18.5M,Right,1,3,3,High/ High,RM
195861,Y. Rakitskyi,32,Ukraine,79,Adana Demirspor,11.5M,Left,2,3,3,High/ Medium,LCB
226268,F. Dimarco,24,Italy,78,Inter,20M,Left,2,2,3,Medium/ Medium,SUB
237238,S. McTominay,25,Scotland,80,Manchester United,25M,Right,2,3,3,Medium/ High,RCM
210324,J. Hofmann,29,Germany,81,Borussia Mönchengladbach,25.5M,Right,2,4,3,High/ High,RM
171897,A. Guardado,35,Mexico,77,Real Betis Balompié,3M,Left,3,2,3,Medium/ Medium,LDM
190875,22 J. Kucka,34,Slovakia,75,Watford,2.6M,Right,2,4,3,High/ Medium,LCM
183498,21 M. Parolo,35,Italy,79,Lazio,4.9M,Right,2,4,3,High/ High,SUB
201400,Rafinha,29,Brazil,78,Paris Saint-Germain,13.5M,Left,2,4,4,High/ Medium,RES
